Wall time,Step,Value
1662553709.9786646,1234,3.614536763052456e-05
1662553710.2664716,1235,3.5821092751575634e-05
1662553712.2488177,1240,3.584368823794648e-05
1662553713.1943586,1243,3.564053986337967e-05
1662553714.0429165,1245,3.57735734723974e-05
1662553715.5155535,1249,3.562100391718559e-05
1662553716.7637062,1252,3.546720108715817e-05
1662553717.6314228,1254,3.54644434992224e-05
1662553720.1572063,1259,3.5323046176927164e-05
1662553720.7233856,1260,3.529130117385648e-05
1662553722.9029272,1264,3.521388862282038e-05
1662553723.4561455,1265,3.5201446735300124e-05
1662553725.6538959,1269,3.512175680953078e-05
1662553726.676912,1271,3.509522503009066e-05
1662553727.157345,1272,3.506979555822909e-05
1662553728.1384954,1274,3.50306618202012e-05
1662553728.6422977,1275,3.5017186746699736e-05
1662553729.6310372,1277,3.497516445349902e-05
1662553730.098683,1278,3.4955653973156586e-05
1662553732.2810354,1282,3.48845605913084e-05
1662553732.8302567,1283,3.4867091017076746e-05
1662553733.83909,1285,3.483407635940239e-05
1662553734.841703,1287,3.4796401450876147e-05
1662553735.406555,1288,3.477931022644043e-05
1662553735.9116635,1289,3.476282290648669e-05
1662553736.487396,1290,3.4745979064609855e-05
1662553737.0419173,1291,3.472824755590409e-05
1662553737.6247857,1292,3.47110144502949e-05
1662553740.3239129,1297,3.46308879670687e-05
1662553740.8978007,1298,3.461541928118095e-05
1662553745.114216,1306,3.450868098298088e-05
1662553746.112961,1308,3.4504380892030895e-05
1662553746.6294997,1309,3.450812437222339e-05
1662553747.2905672,1311,3.454764009802602e-05
1662553747.9440506,1313,3.4619813959579915e-05
1662553749.877912,1319,3.5491153539624065e-05
1662553750.7640018,1322,3.694133192766458e-05
1662553751.085669,1323,3.768831811612472e-05
1662553751.7568479,1325,3.9734874007990584e-05
1662553752.0489879,1326,4.1233728552469984e-05
1662553754.1396773,1333,5.147226693225093e-05
1662553756.8672261,1341,3.642177034635097e-05
1662553757.1601496,1342,3.793111318373121e-05
1662553757.747827,1344,3.8370988477254286e-05
1662553758.0474315,1345,3.723103509400971e-05
1662553758.9717028,1348,3.3853248169180006e-05
1662553760.5433886,1352,3.553451460902579e-05
1662553760.8563976,1353,3.560416735126637e-05
1662553761.1784325,1354,3.53014147549402e-05
1662553761.486524,1355,3.47649838658981e-05
1662553761.7763577,1356,3.420898428885266e-05
1662553764.5327551,1364,3.425323302508332e-05
1662553766.763519,1370,3.342552008689381e-05
1662553767.5280483,1372,3.3463831641711295e-05
1662553768.5167322,1375,3.358614048920572e-05
1662553770.4504442,1381,3.345250297570601e-05
1662553770.7400763,1382,3.340583134558983e-05
1662553771.2954893,1383,3.336054942337796e-05
1662553772.2701826,1385,3.327816739329137e-05
1662553772.8314126,1386,3.3242722565773875e-05
1662553773.347101,1387,3.321106487419456e-05
1662553778.5062242,1397,3.30190705426503e-05
1662553779.0132537,1398,3.3009229809977114e-05
1662553779.9902346,1400,3.2999560062307864e-05
1662553780.805085,1402,3.301463948446326e-05
1662553781.4346237,1404,3.308364830445498e-05
1662553781.7162259,1405,3.315695357741788e-05
1662553782.3533065,1407,3.345856021041982e-05
1662553782.6705284,1408,3.374716834514402e-05
1662553783.3027873,1410,3.490707604214549e-05
1662553787.671103,1424,3.326267687953077e-05
1662553788.8519232,1428,4.853308928431943e-05
